epoch,accuracy,loss,val_accuracy,val_loss
0,0.54744524,0.6774618058599114,0.8,0.6591317398207528
1,0.7469586,0.6318448824023969,0.5365854,0.6453034026282174
2,0.76155716,0.5736084155502691,0.5512195,0.6296365516526359
3,0.8004866,0.49144778786784543,0.8585366,0.45413336157798767
4,0.8223844,0.4447135678027958,0.8780488,0.35862656576292856
